Building,Year,Month,Day,Hour,Quarter,P1(Day),P2(Holiday),P3(HighestTemp),P4(Weather),Demand
1,2019,05,10,00,0,5,4,29.00,2,4.50
1,2019,05,10,00,1,5,4,29.00,2,4.20
1,2019,05,10,00,2,5,4,29.00,2,4.40
1,2019,05,10,00,3,5,4,29.00,2,4.10
1,2019,05,10,01,0,5,4,29.00,2,4.40
1,2019,05,10,01,1,5,4,29.00,2,4.20
1,2019,05,10,01,2,5,4,29.00,2,4.30
1,2019,05,10,01,3,5,4,29.00,2,4.20
1,2019,05,10,02,0,5,4,29.00,2,4.20
1,2019,05,10,02,1,5,4,29.00,2,4.10
1,2019,05,10,02,2,5,4,29.00,2,4.40
1,2019,05,10,02,3,5,4,29.00,2,4.20
1,2019,05,10,03,0,5,4,29.00,2,4.10
1,2019,05,10,03,1,5,4,29.00,2,4.20
1,2019,05,10,03,2,5,4,29.00,2,3.90
1,2019,05,10,03,3,5,4,29.00,2,4.10
1,2019,05,10,04,0,5,4,29.00,2,4.10
1,2019,05,10,04,1,5,4,29.00,2,4.40
1,2019,05,10,04,2,5,4,29.00,2,4.20
1,2019,05,10,04,3,5,4,29.00,2,4.60
1,2019,05,10,05,0,5,4,29.00,2,5.70
1,2019,05,10,05,1,5,4,29.00,2,5.30
1,2019,05,10,05,2,5,4,29.00,2,5.10
1,2019,05,10,05,3,5,4,29.00,2,4.50
1,2019,05,10,06,0,5,4,29.00,2,5.40
1,2019,05,10,06,1,5,4,29.00,2,6.00
1,2019,05,10,06,2,5,4,29.00,2,5.70
1,2019,05,10,06,3,5,4,29.00,2,5.10
1,2019,05,10,07,0,5,4,29.00,2,6.20
1,2019,05,10,07,1,5,4,29.00,2,6.10
1,2019,05,10,07,2,5,4,29.00,2,6.10
1,2019,05,10,07,3,5,4,29.00,2,5.50
1,2019,05,10,08,0,5,4,29.00,2,6.40
1,2019,05,10,08,1,5,4,29.00,2,7.00
1,2019,05,10,08,2,5,4,29.00,2,7.40
1,2019,05,10,08,3,5,4,29.00,2,8.70
1,2019,05,10,09,0,5,4,29.00,2,9.50
1,2019,05,10,09,1,5,4,29.00,2,9.40
1,2019,05,10,09,2,5,4,29.00,2,9.40
1,2019,05,10,09,3,5,4,29.00,2,9.80
1,2019,05,10,10,0,5,4,29.00,2,10.20
1,2019,05,10,10,1,5,4,29.00,2,9.70
1,2019,05,10,10,2,5,4,29.00,2,9.60
1,2019,05,10,10,3,5,4,29.00,2,9.80
1,2019,05,10,11,0,5,4,29.00,2,9.50
1,2019,05,10,11,1,5,4,29.00,2,9.70
1,2019,05,10,11,2,5,4,29.00,2,9.90
1,2019,05,10,11,3,5,4,29.00,2,10.70
1,2019,05,10,12,0,5,4,29.00,2,9.90
1,2019,05,10,12,1,5,4,29.00,2,9.60
1,2019,05,10,12,2,5,4,29.00,2,9.30
1,2019,05,10,12,3,5,4,29.00,2,9.00
