BuildingIndex,Year,Month,Day,Hour,Quarter,DayofType,Holiday,HighestTemp,Whether,Demand,
1,2018,6,11,0,0,7,5,21.6,4,456,
1,2018,6,11,0,1,1,4,19.2,4,456,
1,2018,6,11,0,2,1,4,19.2,4,460,
1,2018,6,11,0,3,1,4,19.2,4,460,
1,2018,6,11,1,0,1,4,19.2,4,452,
1,2018,6,11,1,1,1,4,19.2,4,452,
1,2018,6,11,1,2,1,4,19.2,4,504,
1,2018,6,11,1,3,1,4,19.2,4,456,
1,2018,6,11,2,0,1,4,19.2,4,472,
1,2018,6,11,2,1,1,4,19.2,4,456,
1,2018,6,11,2,2,1,4,19.2,4,476,
1,2018,6,11,2,3,1,4,19.2,4,452,
1,2018,6,11,3,0,1,4,19.2,4,468,
1,2018,6,11,3,1,1,4,19.2,4,496,
1,2018,6,11,3,2,1,4,19.2,4,472,
1,2018,6,11,3,3,1,4,19.2,4,456,
1,2018,6,11,4,0,1,4,19.2,4,448,
1,2018,6,11,4,1,1,4,19.2,4,480,
1,2018,6,11,4,2,1,4,19.2,4,456,
1,2018,6,11,4,3,1,4,19.2,4,500,
1,2018,6,11,5,0,1,4,19.2,4,464,
1,2018,6,11,5,1,1,4,19.2,4,452,
1,2018,6,11,5,2,1,4,19.2,4,456,
1,2018,6,11,5,3,1,4,19.2,4,468,
1,2018,6,11,6,0,1,4,19.2,4,464,
1,2018,6,11,6,1,1,4,19.2,4,456,
1,2018,6,11,6,2,1,4,19.2,4,464,
1,2018,6,11,6,3,1,4,19.2,4,448,
1,2018,6,11,7,0,1,4,19.2,4,472,
1,2018,6,11,7,1,1,4,19.2,4,1368,
1,2018,6,11,7,2,1,4,19.2,4,1332,
1,2018,6,11,7,3,1,4,19.2,4,1348,
1,2018,6,11,8,0,1,4,19.2,4,1340,
1,2018,6,11,8,1,1,4,19.2,4,2008,
1,2018,6,11,8,2,1,4,19.2,4,1872,
1,2018,6,11,8,3,1,4,19.2,4,1896,
1,2018,6,11,9,0,1,4,19.2,4,1864,
1,2018,6,11,9,1,1,4,19.2,4,2056,
1,2018,6,11,9,2,1,4,19.2,4,2052,
1,2018,6,11,9,3,1,4,19.2,4,2092,
1,2018,6,11,10,0,1,4,19.2,4,2084,
1,2018,6,11,10,1,1,4,19.2,4,1876,
1,2018,6,11,10,2,1,4,19.2,4,3268,
1,2018,6,11,10,3,1,4,19.2,4,3256,
1,2018,6,11,11,0,1,4,19.2,4,3588,
1,2018,6,11,11,1,1,4,19.2,4,3712,
1,2018,6,11,11,2,1,4,19.2,4,3596,
1,2018,6,11,11,3,1,4,19.2,4,4036,
1,2018,6,11,12,0,1,4,19.2,4,13000,
1,2018,6,11,12,1,1,4,19.2,4,9116,
1,2018,6,11,12,2,1,4,19.2,4,10136,
1,2018,6,11,12,3,1,4,19.2,4,10032,
1,2018,6,11,13,0,1,4,19.2,4,12824,
1,2018,6,11,13,1,1,4,19.2,4,7664,
1,2018,6,11,13,2,1,4,19.2,4,7576,
1,2018,6,11,13,3,1,4,19.2,4,7792,
1,2018,6,11,14,0,1,4,19.2,4,7468,
1,2018,6,11,14,1,1,4,19.2,4,6004,
1,2018,6,11,14,2,1,4,19.2,4,13000,
1,2018,6,11,14,3,1,4,19.2,4,10036,
1,2018,6,11,15,0,1,4,19.2,4,8112,
1,2018,6,11,15,1,1,4,19.2,4,6476,
1,2018,6,11,15,2,1,4,19.2,4,7824,
1,2018,6,11,15,3,1,4,19.2,4,11356,
1,2018,6,11,16,0,1,4,19.2,4,12964,
1,2018,6,11,16,1,1,4,19.2,4,10924,
1,2018,6,11,16,2,1,4,19.2,4,13000,
1,2018,6,11,16,3,1,4,19.2,4,9232,
1,2018,6,11,17,0,1,4,19.2,4,8732,
1,2018,6,11,17,1,1,4,19.2,4,9832,
1,2018,6,11,17,2,1,4,19.2,4,9776,
1,2018,6,11,17,3,1,4,19.2,4,11644,
1,2018,6,11,18,0,1,4,19.2,4,11880,
1,2018,6,11,18,1,1,4,19.2,4,8316,
1,2018,6,11,18,2,1,4,19.2,4,9032,
1,2018,6,11,18,3,1,4,19.2,4,6956,
1,2018,6,11,19,0,1,4,19.2,4,10624,
1,2018,6,11,19,1,1,4,19.2,4,12604,
1,2018,6,11,19,2,1,4,19.2,4,9832,
1,2018,6,11,19,3,1,4,19.2,4,8220,
1,2018,6,11,20,0,1,4,19.2,4,9220,
1,2018,6,11,20,1,1,4,19.2,4,3900,
1,2018,6,11,20,2,1,4,19.2,4,11116,
1,2018,6,11,20,3,1,4,19.2,4,9244,
1,2018,6,11,21,0,1,4,19.2,4,6680,
1,2018,6,11,21,1,1,4,19.2,4,5516,
1,2018,6,11,21,2,1,4,19.2,4,11368,
1,2018,6,11,21,3,1,4,19.2,4,13000,
1,2018,6,11,22,0,1,4,19.2,4,7560,
1,2018,6,11,22,1,1,4,19.2,4,4880,
1,2018,6,11,22,2,1,4,19.2,4,8784,
1,2018,6,11,22,3,1,4,19.2,4,3188,
1,2018,6,11,23,0,1,4,19.2,4,3172,
1,2018,6,11,23,1,1,4,19.2,4,3164,
1,2018,6,11,23,2,1,4,19.2,4,3176,
1,2018,6,11,23,3,1,4,19.2,4,3172,
1,2018,6,12,0,0,1,4,19.2,4,3152,
1,2018,6,12,0,1,2,4,24.4,4,2308,
1,2018,6,12,0,2,2,4,24.4,4,2280,
1,2018,6,12,0,3,2,4,24.4,4,2280,
1,2018,6,12,1,0,2,4,24.4,4,2272,
1,2018,6,12,1,1,2,4,24.4,4,2284,
