BuildingIndex,Year,Month,Day,Hour,Quarter,DayOfWeek,Holiday,HighestTemp,Weather
1,2018,8,1,0,1,3,4,38.9,2
1,2018,8,1,0,2,3,4,38.9,2
1,2018,8,1,0,3,3,4,38.9,2
1,2018,8,1,1,0,3,4,38.9,2
1,2018,8,1,1,1,3,4,38.9,2
1,2018,8,1,1,2,3,4,38.9,2
1,2018,8,1,1,3,3,4,38.9,2
1,2018,8,1,2,0,3,4,38.9,2
1,2018,8,1,2,1,3,4,38.9,2
1,2018,8,1,2,2,3,4,38.9,2
1,2018,8,1,2,3,3,4,38.9,2
1,2018,8,1,3,0,3,4,38.9,2
1,2018,8,1,3,1,3,4,38.9,2
1,2018,8,1,3,2,3,4,38.9,2
1,2018,8,1,3,3,3,4,38.9,2
1,2018,8,1,4,0,3,4,38.9,2
1,2018,8,1,4,1,3,4,38.9,2
1,2018,8,1,4,2,3,4,38.9,2
1,2018,8,1,4,3,3,4,38.9,2
1,2018,8,1,5,0,3,4,38.9,2
1,2018,8,1,5,1,3,4,38.9,2
1,2018,8,1,5,2,3,4,38.9,2
1,2018,8,1,5,3,3,4,38.9,2
1,2018,8,1,6,0,3,4,38.9,2
1,2018,8,1,6,1,3,4,38.9,2
1,2018,8,1,6,2,3,4,38.9,2
1,2018,8,1,6,3,3,4,38.9,2
1,2018,8,1,7,0,3,4,38.9,2
1,2018,8,1,7,1,3,4,38.9,2
1,2018,8,1,7,2,3,4,38.9,2
1,2018,8,1,7,3,3,4,38.9,2
1,2018,8,1,8,0,3,4,38.9,2
1,2018,8,1,8,1,3,4,38.9,2
1,2018,8,1,8,2,3,4,38.9,2
1,2018,8,1,8,3,3,4,38.9,2
1,2018,8,1,9,0,3,4,38.9,2
1,2018,8,1,9,1,3,4,38.9,2
1,2018,8,1,9,2,3,4,38.9,2
1,2018,8,1,9,3,3,4,38.9,2
1,2018,8,1,10,0,3,4,38.9,2
1,2018,8,1,10,1,3,4,38.9,2
1,2018,8,1,10,2,3,4,38.9,2
1,2018,8,1,10,3,3,4,38.9,2
1,2018,8,1,11,0,3,4,38.9,2
1,2018,8,1,11,1,3,4,38.9,2
1,2018,8,1,11,2,3,4,38.9,2
1,2018,8,1,11,3,3,4,38.9,2
1,2018,8,1,12,0,3,4,38.9,2
1,2018,8,1,12,1,3,4,38.9,2
1,2018,8,1,12,2,3,4,38.9,2
1,2018,8,1,12,3,3,4,38.9,2
1,2018,8,1,13,0,3,4,38.9,2
1,2018,8,1,13,1,3,4,38.9,2
1,2018,8,1,13,2,3,4,38.9,2
1,2018,8,1,13,3,3,4,38.9,2
1,2018,8,1,14,0,3,4,38.9,2
1,2018,8,1,14,1,3,4,38.9,2
1,2018,8,1,14,2,3,4,38.9,2
1,2018,8,1,14,3,3,4,38.9,2
1,2018,8,1,15,0,3,4,38.9,2
1,2018,8,1,15,1,3,4,38.9,2
1,2018,8,1,15,2,3,4,38.9,2
1,2018,8,1,15,3,3,4,38.9,2
1,2018,8,1,16,0,3,4,38.9,2
1,2018,8,1,16,1,3,4,38.9,2
1,2018,8,1,16,2,3,4,38.9,2
1,2018,8,1,16,3,3,4,38.9,2
1,2018,8,1,17,0,3,4,38.9,2
1,2018,8,1,17,1,3,4,38.9,2
1,2018,8,1,17,2,3,4,38.9,2
1,2018,8,1,17,3,3,4,38.9,2
1,2018,8,1,18,0,3,4,38.9,2
1,2018,8,1,18,1,3,4,38.9,2
1,2018,8,1,18,2,3,4,38.9,2
1,2018,8,1,18,3,3,4,38.9,2
1,2018,8,1,19,0,3,4,38.9,2
1,2018,8,1,19,1,3,4,38.9,2
1,2018,8,1,19,2,3,4,38.9,2
1,2018,8,1,19,3,3,4,38.9,2
1,2018,8,1,20,0,3,4,38.9,2
1,2018,8,1,20,1,3,4,38.9,2
1,2018,8,1,20,2,3,4,38.9,2
1,2018,8,1,20,3,3,4,38.9,2
1,2018,8,1,21,0,3,4,38.9,2
1,2018,8,1,21,1,3,4,38.9,2
1,2018,8,1,21,2,3,4,38.9,2
1,2018,8,1,21,3,3,4,38.9,2
1,2018,8,1,22,0,3,4,38.9,2
1,2018,8,1,22,1,3,4,38.9,2
1,2018,8,1,22,2,3,4,38.9,2
1,2018,8,1,22,3,3,4,38.9,2
1,2018,8,1,23,0,3,4,38.9,2
1,2018,8,1,23,1,3,4,38.9,2
1,2018,8,1,23,2,3,4,38.9,2
1,2018,8,1,23,3,3,4,38.9,2
1,2018,8,1,24,0,3,4,38.9,2
